question,bridge,answer
What is the capital of France?,Geography France Capital,The capital of France is Paris
What is the capital of Japan?,Geography Japan Capital,The capital of Japan is Tokyo
What is the capital of Brazil?,Geography Brazil Capital,The capital of Brazil is Brasília
What is the capital of Egypt?,Geography Egypt Capital,The capital of Egypt is Cairo
What is the capital of Canada?,Geography Canada Capital,The capital of Canada is Ottawa
What colour is the sky on a clear day?,Science Sky Colour,The sky is blue
What colour are bananas when ripe?,Biology Fruit Colour,Bananas are yellow
How many legs does a spider have?,Biology Spider Legs,A spider has eight legs
How many planets are in our solar system?,Astronomy Planet Count,There are eight planets
What is the largest ocean on Earth?,Geography Largest Ocean,The Pacific Ocean
What gas do plants breathe in?,Biology Photosynthesis,Plants take in carbon dioxide
What is the freezing point of water?,Physics Water Freezing,Water freezes at 0 degrees Celsius
What is the boiling point of water?,Physics Water Boiling,Water boils at 100 degrees Celsius
Who painted the Mona Lisa?,Art Famous Painting,Leonardo da Vinci
What is the tallest mountain on Earth?,Geography Highest Mountain,Mount Everest
How many sides does a triangle have?,Mathematics Triangle Sides,A triangle has three sides
What is the capital of France?,Geography France Capital,The capital of France is Paris
What is the capital of Japan?,Geography Japan Capital,The capital of Japan is Tokyo
What is the capital of Brazil?,Geography Brazil Capital,The capital of Brazil is Brasília
What is the capital of Egypt?,Geography Egypt Capital,The capital of Egypt is Cairo
What is the capital of Canada?,Geography Canada Capital,The capital of Canada is Ottawa
What colour is the sky on a clear day?,Science Sky Colour,The sky is blue
What colour are bananas when ripe?,Biology Fruit Colour,Bananas are yellow
How many legs does a spider have?,Biology Spider Legs,A spider has eight legs
How many planets are in our solar system?,Astronomy Planet Count,There are eight planets
What is the largest ocean on Earth?,Geography Largest Ocean,The Pacific Ocean
What gas do plants breathe in?,Biology Photosynthesis,Plants take in carbon dioxide
What is the freezing point of water?,Physics Water Freezing,Water freezes at 0 degrees Celsius
What is the boiling point of water?,Physics Water Boiling,Water boils at 100 degrees Celsius
Who painted the Mona Lisa?,Art Famous Painting,Leonardo da Vinci
What is the tallest mountain on Earth?,Geography Highest Mountain,Mount Everest
How many sides does a triangle have?,Mathematics Triangle Sides,A triangle has three sides
What is the capital of France?,Geography France Capital,The capital of France is Paris
What is the capital of Japan?,Geography Japan Capital,The capital of Japan is Tokyo
What is the capital of Brazil?,Geography Brazil Capital,The capital of Brazil is Brasília
What is the capital of Egypt?,Geography Egypt Capital,The capital of Egypt is Cairo
What is the capital of Canada?,Geography Canada Capital,The capital of Canada is Ottawa
What colour is the sky on a clear day?,Science Sky Colour,The sky is blue
What colour are bananas when ripe?,Biology Fruit Colour,Bananas are yellow
How many legs does a spider have?,Biology Spider Legs,A spider has eight legs
How many planets are in our solar system?,Astronomy Planet Count,There are eight planets
What is the largest ocean on Earth?,Geography Largest Ocean,The Pacific Ocean
What gas do plants breathe in?,Biology Photosynthesis,Plants take in carbon dioxide
What is the freezing point of water?,Physics Water Freezing,Water freezes at 0 degrees Celsius
What is the boiling point of water?,Physics Water Boiling,Water boils at 100 degrees Celsius
Who painted the Mona Lisa?,Art Famous Painting,Leonardo da Vinci
What is the tallest mountain on Earth?,Geography Highest Mountain,Mount Everest
How many sides does a triangle have?,Mathematics Triangle Sides,A triangle has three sides
What is the capital of France?,Geography France Capital,The capital of France is Paris
What is the capital of Japan?,Geography Japan Capital,The capital of Japan is Tokyo
What is the capital of Brazil?,Geography Brazil Capital,The capital of Brazil is Brasília
What is the capital of Egypt?,Geography Egypt Capital,The capital of Egypt is Cairo
What is the capital of Canada?,Geography Canada Capital,The capital of Canada is Ottawa
What colour is the sky on a clear day?,Science Sky Colour,The sky is blue
What colour are bananas when ripe?,Biology Fruit Colour,Bananas are yellow
How many legs does a spider have?,Biology Spider Legs,A spider has eight legs
How many planets are in our solar system?,Astronomy Planet Count,There are eight planets
What is the largest ocean on Earth?,Geography Largest Ocean,The Pacific Ocean
What gas do plants breathe in?,Biology Photosynthesis,Plants take in carbon dioxide
What is the freezing point of water?,Physics Water Freezing,Water freezes at 0 degrees Celsius
What is the boiling point of water?,Physics Water Boiling,Water boils at 100 degrees Celsius
Who painted the Mona Lisa?,Art Famous Painting,Leonardo da Vinci
What is the tallest mountain on Earth?,Geography Highest Mountain,Mount Everest
How many sides does a triangle have?,Mathematics Triangle Sides,A triangle has three sides
