question,answer
What colour is Mercury?,"Mercury is a dark grey, rocky planet covered in craters. It looks a bit like our Moon."
How hot is Mercury?,"Mercury has extreme temperatures, ranging from -180°C at night to 430°C during the day."
What does Mercury look like?,"Mercury looks like a grey, heavily cratered ball, very similar to Earth's Moon."
What is the surface of Mercury like?,"Its surface is dry, rocky, and covered with cliffs, plains, and countless impact craters from asteroids and comets."
How long would it take to get to Mercury?,"A spacecraft takes about 6 to 7 years to get there, using complex flight paths to slow down against the Sun's gravity."
How big is Mercury?,Mercury is the smallest planet in our solar system. It's only slightly larger than Earth's Moon.
How far from Earth is Mercury?,"The distance varies greatly, but the closest it gets is about 77 million km (48 million miles) from Earth."
How far from the Sun is Mercury?,"Mercury is the closest planet to the Sun, orbiting at an average distance of about 58 million km (36 million miles)."
How heavy is Mercury?,Mercury is quite light for a planet. Its mass is only about 5.5% of Earth's mass.
Does Mercury have Moons?,"No, Mercury does not have any moons."
Does Mercury have rings?,"No, Mercury does not have any rings."
Does Mercury have an atmosphere?,"It has an incredibly thin 'exosphere' made of atoms blasted off its surface. It's not a true, breathable atmosphere."
What is the Gravity on Mercury?,"Gravity is much weaker there, about 38% of Earth's. You could jump almost three times as high!"
Does Mercury have craters?,"Yes, it is covered in craters of all sizes, the largest being the Caloris Basin, which is about 1,550 km (960 miles) wide."
Does Mercury have clouds?,"No, Mercury has no clouds because it has almost no atmosphere to support them."
Does Mercury have water?,"Scientists have found evidence of water ice in permanently shadowed craters at its poles, where the Sun never shines."
How old is Mercury?,"Mercury formed about 4.6 billion years ago, at the same time as the rest of the solar system."
Can you see Mercury from Earth?,"Yes, but it's tricky! You can only see it briefly just after sunset or before sunrise, low on the horizon."
What colour is Venus?,"Venus is mostly a bright, yellowish-white colour. It looks like a very bright, non-twinkling star in our sky."
How hot is Venus?,"Venus is incredibly hot, with an average surface temperature of about 465°C (870°F). That's hot enough to melt lead!"
What does Venus look like?,"From space, Venus looks like a smooth, bright, yellowish-white ball. Its thick clouds hide all surface features from view."
What is the surface of Venus like?,"The surface is a rocky, desert landscape with volcanoes, mountains, and vast plains. It's under crushing atmospheric pressure and scorching heat."
How long would it take to get to Venus?,"A spacecraft takes about 5 to 6 months to travel from Earth to Venus, depending on the flight path and launch timing."
How big is Venus?,"Venus is almost the same size as Earth. Its diameter is about 12,104 km, which is just 638 km smaller than Earth's."
How far from Earth is Venus?,"The distance varies, but at its closest, Venus is about 38 million km (24 million miles) from Earth."
How far from the Sun is Venus?,"Venus is the second planet from the Sun, orbiting at an average distance of about 108 million km (67 million miles)."
How heavy is Venus?,Venus has a mass about 82% that of Earth. It weighs roughly 4.87 trillion trillion kilograms.
Does Venus have Moons?,"No, Venus does not have any moons. It is one of only two planets in our solar system without any natural satellites."
Does Venus have rings?,"No, Venus does not have any rings around it."
Does Venus have an atmosphere?,"Yes, Venus has an extremely thick and toxic atmosphere. It's mostly carbon dioxide with clouds of sulfuric acid."
What is the Gravity on Venus?,"The surface gravity on Venus is about 90% of Earth's. If you weighed 100 lbs here, you'd feel like 91 lbs there."
Does Venus have craters?,"Yes, Venus has impact craters, but not as many as Mercury or Mars. Its thick atmosphere burns up smaller meteoroids."
Does Venus have clouds?,"Yes, Venus is completely covered in thick, fast-moving clouds. They are made of poisonous sulfuric acid droplets."
Does Venus have water?,"No, Venus has no liquid water on its scorching surface. Any water it may have had boiled away long ago."
How old is Venus?,"Venus formed about 4.6 billion years ago, around the same time as the rest of the planets in our solar system."
Can you see Venus from Earth?,"Yes, Venus is very easy to see from Earth! It's often the brightest object in the sky after the Sun and Moon, called the 'Evening Star' or 'Morning Star'."
What colour is Earth?,"Earth looks blue and white from space, due to its oceans and clouds, with patches of brown and green land."
How hot is Earth?,"Earth's average surface temperature is a comfortable 15°C (59°F), but it ranges from extreme cold at the poles to heat in deserts."
What does Earth look like?,"From space, Earth is a beautiful blue marble with swirling white clouds and visible continents."
What is the surface of Earth like?,"Earth's surface is unique, with rocky continents, vast liquid water oceans, polar ice caps, and a dynamic, ever-changing landscape."
How long would it take to get to Earth?,This question is from Earth's perspective! We are already here.
How big is Earth?,"Earth has a diameter of about 12,742 km (7,918 miles). It's the largest of the four rocky, inner planets."
How far from Earth is Earth?,Zero! We are on Earth.
How far from the Sun is Earth?,"Earth is the third planet from the Sun, orbiting at an average distance of about 150 million km (93 million miles). This distance defines one Astronomical Unit (AU)."
How heavy is Earth?,Earth has a mass of about 5.97 trillion trillion kilograms (that's a 5.97 followed by 24 zeros!).
Does Earth have Moons?,"Yes, Earth has one large, natural satellite: the Moon."
Does Earth have rings?,"No, Earth does not have any planetary rings."
Does Earth have an atmosphere?,"Yes, Earth has a life-supporting atmosphere rich in nitrogen and oxygen, with a protective ozone layer."
What is the Gravity on Earth?,"This is our standard gravity, defined as 1 'g'. It's what keeps you firmly on the ground."
Does Earth have craters?,"Yes, but not many are visible. Earth's active surface (weather, volcanoes, plate tectonics) erodes most old craters."
Does Earth have clouds?,"Yes, Earth has many types of clouds made of water vapor. They are crucial for our weather and water cycle."
Does Earth have water?,"Yes, Earth is the only known planet with stable, large bodies of liquid water on its surface, which is essential for life."
How old is Earth?,Earth is about 4.54 billion years old.
Can you see Earth from Earth?,"Yes, but we see our immediate surroundings. To see the whole planet, you'd need to be in space!"
What colour is Mars?,Mars is known as the 'Red Planet' due to the reddish-brown colour of its iron oxide (rust) covered surface.
How hot is Mars?,"Mars-is very cold, with an average temperature of about -63°C (-81°F). It can reach a mild 20°C (70°F) at the equator in summer."
What does Mars look like?,"Mars-is a rusty-red planet with white polar ice caps, dark surface markings, and sometimes planet-wide dust storms."
What is the surface of Mars like?,"The surface is a dusty, rocky desert with the largest volcano and deepest canyon in the solar system. It's dry and covered in rust-colored dust."
How long would it take to get to Mars?,"A trip to Mars takes about 7 to 9 months with current rocket technology, depending on the alignment of the two planets."
How big is Mars?,Mars is about half the size of Earth in diameter. It's the second smallest planet in our solar system.
How far from Earth is Mars?,"The distance changes dramatically. At its closest approach, Mars can be about 54.6 million km (33.9 million miles) away."
How far from the Sun is Mars?,"Mars-is the fourth planet from the Sun, orbiting at an average distance of about 228 million km (142 million miles)."
How heavy is Mars?,Mars has only about 10.7% of Earth's mass. It is much less dense than Earth.
